year,date_,averageT,minT,averageP,SWE,Rhum,model_id,scenario_id,point_id,x,y
2052,1/31/52 0:00,7.164475123,-0.795491775,108.0604146,107.6594645,45.80111667,ccsm3,a2,3,-119.5676,37.8217
2053,1/31/53 0:00,7.714759191,-0.376758337,78.42084249,256.7165324,47.86709167,ccsm3,a2,3,-119.5676,37.8217
2054,1/31/54 0:00,6.56776619,-1.665500005,91.90625,61.72780355,45.269625,ccsm3,a2,3,-119.5676,37.8217
2055,1/31/55 0:00,7.072658539,-0.887808164,128.3083293,268.2916056,49.82073333,ccsm3,a2,3,-119.5676,37.8217
2056,1/31/56 0:00,7.986266454,0.302983363,120.1958313,264.4527791,50.384575,ccsm3,a2,3,-119.5676,37.8217
2057,1/31/57 0:00,6.096583049,-1.393191655,134.4166667,363.7989502,54.50815833,ccsm3,a2,3,-119.5676,37.8217
2058,1/31/58 0:00,8.627333323,0.654708385,38.05624898,20.82963435,42.38220833,ccsm3,a2,3,-119.5676,37.8217
2059,1/31/59 0:00,7.709008535,0.188966711,76.7895813,68.50006104,46.86200833,ccsm3,a2,3,-119.5676,37.8217
2060,1/31/60 0:00,8.029574712,-0.095766664,46.14166768,122.782369,46.02756667,ccsm3,a2,3,-119.5676,37.8217
2061,1/31/61 0:00,7.744333267,-0.183899959,201.916687,179.3407389,49.43440833,ccsm3,a2,3,-119.5676,37.8217
2062,1/31/62 0:00,7.109582901,-0.565250079,94.48958333,193.3364461,48.552875,ccsm3,a2,3,-119.5676,37.8217
2063,1/31/63 0:00,7.054391861,-0.33253334,83.38333639,104.5358683,46.692225,ccsm3,a2,3,-119.5676,37.8217
2064,1/31/64 0:00,7.367058436,-0.497925043,94.9541626,77.35906982,50.051375,ccsm3,a2,3,-119.5676,37.8217
2065,1/31/65 0:00,8.386109034,0.072158297,90.21250407,174.2351074,48.22081667,ccsm3,a2,3,-119.5676,37.8217
2066,1/31/66 0:00,7.570316315,-0.501900077,61.37083944,34.39440664,45.045775,ccsm3,a2,3,-119.5676,37.8217
2067,1/31/67 0:00,7.897542318,0.149433494,51.80207825,65.31373596,42.07499167,ccsm3,a2,3,-119.5676,37.8217
2068,1/31/68 0:00,8.050841649,-0.200850089,109.4791667,72.7469635,45.21619167,ccsm3,a2,3,-119.5676,37.8217
2069,1/31/69 0:00,8.798966726,0.149458329,52.99374898,67.22568766,42.45613333,ccsm3,a2,3,-119.5676,37.8217
2070,1/31/70 0:00,8.098658244,0.138074954,168.7541809,111.8620911,52.04431667,ccsm3,a2,3,-119.5676,37.8217
2071,1/31/71 0:00,7.7434419,0.140883366,91.80210368,113.2730509,47.13448333,ccsm3,a2,3,-119.5676,37.8217
2072,1/31/72 0:00,8.061450322,0.564358433,119.7666626,64.04174805,48.71270833,ccsm3,a2,3,-119.5676,37.8217
2073,1/31/73 0:00,7.403766632,-0.259199858,101.4624837,157.6430054,48.72081667,ccsm3,a2,3,-119.5676,37.8217
2074,1/31/74 0:00,8.211317062,-0.102424781,49.0770874,120.6810099,41.60090833,ccsm3,a2,3,-119.5676,37.8217
2075,1/31/75 0:00,7.839991887,-0.342841625,45.42500305,42.73956807,47.9947,ccsm3,a2,3,-119.5676,37.8217
2076,1/31/76 0:00,8.775925318,0.392583291,106.6020915,272.4837036,40.52018333,ccsm3,a2,3,-119.5676,37.8217
2077,1/31/77 0:00,7.822441737,0.323491494,41.63749695,11.83559036,47.47365833,ccsm3,a2,3,-119.5676,37.8217
2078,1/31/78 0:00,7.953183492,0.117816587,88.8999939,139.8289286,48.89185,ccsm3,a2,3,-119.5676,37.8217
2079,1/31/79 0:00,9.338450114,2.182775021,53.68333435,17.57239024,44.23905833,ccsm3,a2,3,-119.5676,37.8217
2080,1/31/80 0:00,6.935700099,-0.760775248,205.1020711,452.8551025,50.8339,ccsm3,a2,3,-119.5676,37.8217
2081,1/31/81 0:00,8.598333359,1.021858374,99.4541626,214.3428141,49.091775,ccsm3,a2,3,-119.5676,37.8217
2082,1/31/82 0:00,10.06685829,2.526358445,58.9833374,87.3829244,44.70950833,ccsm3,a2,3,-119.5676,37.8217
2083,1/31/83 0:00,8.611858368,0.944633325,87.23542277,25.4898351,52.18021667,ccsm3,a2,3,-119.5676,37.8217
2084,1/31/84 0:00,8.932990392,0.622608423,139.168752,47.77703857,50.52786667,ccsm3,a2,3,-119.5676,37.8217
2085,1/31/85 0:00,9.150999705,1.326716741,99.7041626,194.2050374,49.45635,ccsm3,a2,3,-119.5676,37.8217
2086,1/31/86 0:00,9.379391352,1.598549843,100.7729187,95.81763713,46.53681667,ccsm3,a2,3,-119.5676,37.8217
2087,1/31/87 0:00,8.872484207,0.899633249,235.916626,638.7860107,48.17678333,ccsm3,a2,3,-119.5676,37.8217
2088,1/31/88 0:00,10.11045901,2.697266579,111.0895894,34.33125305,46.1978,ccsm3,a2,3,-119.5676,37.8217
2089,1/31/89 0:00,9.067991893,0.806191842,106.6916707,134.9888,44.49264167,ccsm3,a2,3,-119.5676,37.8217
2090,1/31/90 0:00,8.86000824,1.871899923,65.80208842,103.9338888,52.81921667,ccsm3,a2,3,-119.5676,37.8217
2091,1/31/91 0:00,10.86289978,3.057467143,44.25625102,24.77453359,42.03085833,ccsm3,a2,3,-119.5676,37.8217
2092,1/31/92 0:00,10.46024958,2.473524888,98.30208333,45.59145101,45.44055833,ccsm3,a2,3,-119.5676,37.8217
2093,1/31/93 0:00,9.501907984,1.281683604,60.28333028,122.076416,44.60804167,ccsm3,a2,3,-119.5676,37.8217
2094,1/31/94 0:00,10.49533463,2.218366623,61.05208333,33.47219086,39.15868333,ccsm3,a2,3,-119.5676,37.8217
2095,1/31/95 0:00,9.956108093,1.661266645,92.54792277,150.2937927,47.00345833,ccsm3,a2,3,-119.5676,37.8217
2096,1/31/96 0:00,10.20499166,2.070899804,28.66249847,1.61195008,42.10928333,ccsm3,a2,3,-119.5676,37.8217
2097,1/31/97 0:00,9.595316569,1.470933437,92.76667277,29.72866821,46.302775,ccsm3,a2,3,-119.5676,37.8217
