GUID,SCIENTIFIC_NAME,OTHERCATALOGNUMBERS,COORDINATEUNCERTAINTYINMETERS,COUNTRY,STATE_PROV,ELEVATION,SPEC_LOCALITY,VERBATIM_DATE,PARTS,DEC_LAT,DEC_LONG,SEX,ERA
MSB:Mamm:101310,Tamias speciosus frater,USGS: U.S. Geological Survey=BS/FC 1310; preparator number=610718-3,,United States,California,,"Yosemite Natl. Park, Tolumne Riv, Dana Fork",18-Jul-61,skull,,,female,H
MVZ:Mamm:23388,Tamias speciosus frater,collector number=7364,1518,United States,California,2194.56,"1 mi E Merced Lake, Yosemite National Park",25-Aug-15,skull; study skin,37.73082,-119.39231,female,H
MVZ:Mamm:23385,Tamias speciosus frater,collector number=3455,1600,United States,California,2225.04,"1 mi E Merced Lake, Yosemite National Park",21-Aug-15,skull; study skin; DNA,37.73082,-119.39231,female,H
MVZ:Mamm:23424,Tamias speciosus frater,collector number=7756,499,United States,California,1950.72,"Aspen Valley, Yosemite National Park",16-Oct-15,skull; study skin,37.827725,-119.771211,male,H
MVZ:Mamm:23429,Tamias speciosus frater,collector number=3749,3077,United States,California,2225.04,"2 mi N Yosemite Point, Yosemite National Park",30-Oct-15,skull; study skin,37.76768,-119.58566,female,H
MVZ:Mamm:23404,Tamias speciosus frater,collector number=7666,238,United States,California,2377.44,"Glen Aulin, Tuolumne River, Yosemite National Park",30-Sep-15,skull; DNA; study skin,37.91206,-119.42135,female,H
MVZ:Mamm:23411,Tamias speciosus frater,collector number=7678,238,United States,California,2377.44,"Glen Aulin, Tuolumne River, Yosemite National Park",3-Oct-15,skull; DNA; study skin,37.91206,-119.42135,female,H
MVZ:Mamm:23413,Tamias speciosus frater,collector number=7677,238,United States,California,2377.44,"Glen Aulin, Tuolumne River, Yosemite National Park",3-Oct-15,skull; study skin,37.91206,-119.42135,female,H
MVZ:Mamm:23414,Tamias speciosus frater,collector number=7714,821,United States,California,2804.16,"Ten Lakes, Yosemite National Park",9-Oct-15,skull; study skin,37.90351,-119.52754,male,H
MVZ:Mamm:22732,Tamias speciosus frater,collector number=2090,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",28-Jun-15,skull; study skin; DNA; skeleton,37.80526,-119.55632,female,H
