cat.num,species,elev.m,sex,era,specific.locality,latitude,longitude,pc1,face.proj,neuro.proj
201503,Tamias speciosus,3121.152,F,M,Lyell Canyon,37.76807,-119.25506,51.57054414,39.37532496,31.00946885
201504,Tamias speciosus,3121.152,M,M,Lyell Canyon,37.76807,-119.25506,50.96691026,40.2451808,29.10068651
201505,Tamias speciosus,3051.048,M,M,Lyell Canyon,37.77211,-119.25828,49.27543791,38.56855869,28.12572003
201506,Tamias speciosus,3220.212,F,M,Lyell Canyon,37.76358,-119.25996,52.95919906,41.15839938,30.98881334
201508,Tamias speciosus,2983.3824,F,M,Lyell Canyon,37.77719,-119.26395,52.51905507,41.2539238,30.48769572
201509,Tamias speciosus,2983.3824,M,M,Lyell Canyon,37.77719,-119.26395,51.83802521,40.71959075,29.79024228
201510,Tamias speciosus,3121.152,F,M,Lyell Canyon,37.7672,-119.25723,52.62274492,41.42106932,30.25164961
201512,Tamias speciosus,3121.152,M,M,Lyell Canyon,37.7672,-119.25723,53.7516244,41.25072427,32.01665846
201513,Tamias speciosus,3121.152,F,M,Lyell Canyon,37.7672,-119.25723,52.19125283,40.45569548,30.69720891
201514,Tamias speciosus,2412.1872,M,M,Glen Aulin,37.91355,-119.42225,51.17468651,39.61237036,30.15259594
201515,Tamias speciosus,2412.1872,M,M,Glen Aulin,37.91355,-119.42225,51.40304755,39.943213,30.02721018
201516,Tamias speciosus,2412.1872,F,M,Glen Aulin,37.91355,-119.42225,53.67459161,42.21304332,30.99105818
201517,Tamias speciosus,2412.1872,F,M,Glen Aulin,37.91355,-119.42225,53.24476126,41.90136491,30.67807726
201518,Tamias speciosus,2412.1872,F,M,Glen Aulin,37.91355,-119.42225,52.68338261,41.1460343,30.75884814
201522,Tamias speciosus,2412.1872,M,M,Glen Aulin,37.91355,-119.42225,52.07599249,40.61060182,30.52494463
201523,Tamias speciosus,2412.1872,F,M,Glen Aulin,37.91355,-119.42225,53.21836391,41.41585963,31.20152283
201527,Tamias speciosus,2412.1872,M,M,Glen Aulin,37.91355,-119.42225,51.13513531,39.53306092,30.07948443
201528,Tamias speciosus,2412.1872,F,M,Glen Aulin,37.91355,-119.42225,53.77751819,42.09714367,31.35320832
201529,Tamias speciosus,2412.1872,F,M,Glen Aulin,37.91355,-119.42225,52.61985424,41.58495078,30.25133354
201530,Tamias speciosus,2412.1872,F,M,Glen Aulin,37.91355,-119.42225,52.23620325,41.34075082,29.97743799
